Category,Subcategory,count
Altres,Altres,4
Cura personal,Manicura,1
Cura personal,Moda,2
Festivitats,Calendari Advent,5
Festivitats,Nadal,2
Gadgets,Amazon,3
Gadgets,Temu,1
Llar,Cuina,4
Llar,Neteja,3
Llar,Ordre i Decoració,15
Llar,Trucs pel dia a dia,14
Oci i Cultura,DIY,1
Oci i Cultura,Geocaching,2
Oci i Cultura,Plans,2
Oci i Cultura,Viatges,7
