Mes,2020,2021,2022,2023,2024,2025
Gener,0,730150,2850000,702700,828600,0
Febrer,0,706500,957400,0,5700000,0
Març,0,2496333,1289400,2660000,0,2861050
Abril,0,3825000,2564533,0,0,1400000
Maig,0,1300000,932700,0,572000,4800000
Juny,0,1800000,0,1656366,1100000,0
Juliol,0,1600000,0,0,0,0
Agost,0,3200000,0,0,0,0
Setembre,0,4350000,0,0,0,0
Octubre,0,3466650,0,847700,624400,0
Novembre,0,2368233,0,1600000,0,0
Desembre,2500000,1000000,3546600,2000000,5400000,0
